id,sourceid,targetid,relation,prefixrelation
103,N1692030506,N1692030507,isAheadOf,jad:isAheadOf
104,N1692030507,N1692030601,isAheadOf,jad:isAheadOf
105,N1692030601,N1692030602,isAheadOf,jad:isAheadOf
106,N1692030602,N1692030603,isAheadOf,jad:isAheadOf
107,N1692030603,N1692030604,isAheadOf,jad:isAheadOf
108,N1692030604,N1692030701,isAheadOf,jad:isAheadOf
109,N1692030701,N1692030702,isAheadOf,jad:isAheadOf
110,N1692030702,N1692030703,isAheadOf,jad:isAheadOf
111,N1692030703,N1692030704,isAheadOf,jad:isAheadOf
112,N1692030704,N1692030801,isAheadOf,jad:isAheadOf
113,N1692030801,N1692030802,isAheadOf,jad:isAheadOf
114,N1692030802,N1692030803,isAheadOf,jad:isAheadOf
115,N1692030803,N1692030804,isAheadOf,jad:isAheadOf
116,N1692030804,N1692030805,isAheadOf,jad:isAheadOf
117,N1692030805,N1692030901,isAheadOf,jad:isAheadOf
118,N1692030901,N1692030902,isAheadOf,jad:isAheadOf
119,N1692030902,N1692030903,isAheadOf,jad:isAheadOf
120,N1692030903,N1692031101,isAheadOf,jad:isAheadOf
121,N1692031101,N1692031102,isAheadOf,jad:isAheadOf
122,N1692031102,N1692031200,isAheadOf,jad:isAheadOf
123,N1692031200,N1692031301,isAheadOf,jad:isAheadOf
124,N1692031301,N1692031302,isAheadOf,jad:isAheadOf
125,N1692031302,N1692031303,isAheadOf,jad:isAheadOf
126,N1692031303,N1692031304,isAheadOf,jad:isAheadOf
127,N1692031304,N1692031401,isAheadOf,jad:isAheadOf
128,N1692031401,N1692031402,isAheadOf,jad:isAheadOf
129,N1692031402,N1692031403,isAheadOf,jad:isAheadOf
130,N1692031403,N1692031501,isAheadOf,jad:isAheadOf
131,N1692031501,N1692031502,isAheadOf,jad:isAheadOf
132,N1692031502,N1692031503,isAheadOf,jad:isAheadOf
133,N1692031503,N1692031601,isAheadOf,jad:isAheadOf
134,N1692031601,N1692031602,isAheadOf,jad:isAheadOf
135,N1692031602,N1692031603,isAheadOf,jad:isAheadOf
136,N1692031603,N1692031604,isAheadOf,jad:isAheadOf
137,N1692031604,N1692031605,isAheadOf,jad:isAheadOf
138,N1692031605,N1692031606,isAheadOf,jad:isAheadOf
139,N1692031606,N1692031801,isAheadOf,jad:isAheadOf
140,N1692031801,N1692031802,isAheadOf,jad:isAheadOf
141,N1692031802,N1692031901,isAheadOf,jad:isAheadOf
142,N1692031901,N1692031902,isAheadOf,jad:isAheadOf
143,N1692031902,N1692031903,isAheadOf,jad:isAheadOf
144,N1692031903,N1692032001,isAheadOf,jad:isAheadOf
145,N1692032001,N1692032002,isAheadOf,jad:isAheadOf
146,N1692032002,N1692032003,isAheadOf,jad:isAheadOf
147,N1692032003,N1692032100,isAheadOf,jad:isAheadOf
148,N1692032100,N1692032201,isAheadOf,jad:isAheadOf
149,N1692032201,N1692032202,isAheadOf,jad:isAheadOf
150,N1692032202,N1692032203,isAheadOf,jad:isAheadOf
151,N1692032203,N1692032301,isAheadOf,jad:isAheadOf
152,N1692032301,N1692032302,isAheadOf,jad:isAheadOf
153,N1692032302,N1692032303,isAheadOf,jad:isAheadOf
154,N1692032303,N1692032304,isAheadOf,jad:isAheadOf
155,N1692032304,N1692032401,isAheadOf,jad:isAheadOf
156,N1692032401,N1692032402,isAheadOf,jad:isAheadOf
157,N1692032402,N1692032403,isAheadOf,jad:isAheadOf
158,N1692032403,N1692032404,isAheadOf,jad:isAheadOf
159,N1692032404,N1692032405,isAheadOf,jad:isAheadOf
160,N1692032405,N1692032406,isAheadOf,jad:isAheadOf
161,N1692032406,N1692032501,isAheadOf,jad:isAheadOf
162,N1692032501,N1692032502,isAheadOf,jad:isAheadOf
163,N1692032502,N1692032503,isAheadOf,jad:isAheadOf
164,N1692032503,N1692032601,isAheadOf,jad:isAheadOf
165,N1692032601,N1692032602,isAheadOf,jad:isAheadOf
166,N1692032602,N1692032603,isAheadOf,jad:isAheadOf
167,N1692032603,N1692032604,isAheadOf,jad:isAheadOf
168,N1692032604,N1692032605,isAheadOf,jad:isAheadOf
169,N1692032605,N1692032701,isAheadOf,jad:isAheadOf
170,N1692032701,N1692032702,isAheadOf,jad:isAheadOf
171,N1692032702,N1692032703,isAheadOf,jad:isAheadOf
172,N1692032703,N1692032704,isAheadOf,jad:isAheadOf
173,N1692032704,N1692032705,isAheadOf,jad:isAheadOf
174,N1692032705,N1692032706,isAheadOf,jad:isAheadOf
175,N1692032706,N1692032801,isAheadOf,jad:isAheadOf
176,N1692032801,N1692032802,isAheadOf,jad:isAheadOf
177,N1692032802,N1692032803,isAheadOf,jad:isAheadOf
178,N1692032803,N1692032804,isAheadOf,jad:isAheadOf
179,N1692032804,N1692032901,isAheadOf,jad:isAheadOf
180,N1692032901,N1692032902,isAheadOf,jad:isAheadOf
181,N1692032902,N1692032903,isAheadOf,jad:isAheadOf
182,N1692032903,N1692032904,isAheadOf,jad:isAheadOf
183,N1692032904,N1692032905,isAheadOf,jad:isAheadOf
184,N1692032905,N1692033001,isAheadOf,jad:isAheadOf
185,N1692033001,N1692033002,isAheadOf,jad:isAheadOf
186,N1692033002,N1692033003,isAheadOf,jad:isAheadOf
187,N1692033003,N1692040301,isAheadOf,jad:isAheadOf
188,N1692040301,N1692040302,isAheadOf,jad:isAheadOf
189,N1692040302,N1692040303,isAheadOf,jad:isAheadOf
190,N1692040303,N1692040304,isAheadOf,jad:isAheadOf
191,N1692040304,N1692040305,isAheadOf,jad:isAheadOf
192,N1692040305,N1692040401,isAheadOf,jad:isAheadOf
193,N1692040401,N1692040402,isAheadOf,jad:isAheadOf
194,N1692040402,N1692040501,isAheadOf,jad:isAheadOf
195,N1692040501,N1692040502,isAheadOf,jad:isAheadOf
196,N1692040502,N1692040601,isAheadOf,jad:isAheadOf
197,N1692040601,N1692040602,isAheadOf,jad:isAheadOf
198,N1692040602,N1692040603,isAheadOf,jad:isAheadOf
199,N1692040603,N1692040604,isAheadOf,jad:isAheadOf
200,N1692040604,N1692040701,isAheadOf,jad:isAheadOf
201,N1692040701,N1692040702,isAheadOf,jad:isAheadOf
202,N1692040702,N1692040703,isAheadOf,jad:isAheadOf
203,N1692040703,N1692040704,isAheadOf,jad:isAheadOf
204,N1692040704,N1692040705,isAheadOf,jad:isAheadOf
205,N1692040705,N1692040801,isAheadOf,jad:isAheadOf
206,N1692040801,N1692040802,isAheadOf,jad:isAheadOf
207,N1692040802,N1692040901,isAheadOf,jad:isAheadOf
208,N1692040901,N1692040902,isAheadOf,jad:isAheadOf
209,N1692040902,N1692040903,isAheadOf,jad:isAheadOf
210,N1692040903,N1692040904,isAheadOf,jad:isAheadOf
211,N1692040904,N1692040905,isAheadOf,jad:isAheadOf
212,N1692040905,N1692041001,isAheadOf,jad:isAheadOf
213,N1692041001,N1692041002,isAheadOf,jad:isAheadOf
