id,class_field,name,year,month,date,y_sc,m_sc,d_sc,intercalary,lunar,solar,conditions,weather_o,weather_t,uri,url
D1692,Diary,1692년,1692,,,壬申,,,,,,,,,http://jiamdiary.info/iri/jad#D1692,http://wiki.jiamdiary.info/1692
D169201,Diary,1692년1월,1692,1,,壬申,壬寅,,,,,,,,http://jiamdiary.info/iri/jad#D169201,http://wiki.jiamdiary.info/169201
D16920101,Diary,1692년1월1일,1692,1,1,壬申,壬寅,辛亥,,1692-01-01,1692-02-17,drop,朝霧重 晩來風曀,아침에 안개가 짙게 낌. 오전 늦게부터 바람이 불고 날이 어두워짐.,http://jiamdiary.info/iri/jad#D16920101,http://wiki.jiamdiary.info/16920101
D16920102,Diary,1692년1월2일,1692,1,2,壬申,壬寅,壬子,,1692-01-02,1692-02-18,blank,,,http://jiamdiary.info/iri/jad#D16920102,http://wiki.jiamdiary.info/16920102
D16920103,Diary,1692년1월3일,1692,1,3,壬申,壬寅,癸丑,,1692-01-03,1692-02-19,blank,,,http://jiamdiary.info/iri/jad#D16920103,http://wiki.jiamdiary.info/16920103
D16920104,Diary,1692년1월4일,1692,1,4,壬申,壬寅,甲寅,,1692-01-04,1692-02-20,blank,,,http://jiamdiary.info/iri/jad#D16920104,http://wiki.jiamdiary.info/16920104
D16920105,Diary,1692년1월5일,1692,1,5,壬申,壬寅,乙卯,,1692-01-05,1692-02-21,blank,,,http://jiamdiary.info/iri/jad#D16920105,http://wiki.jiamdiary.info/16920105
D16920106,Diary,1692년1월6일,1692,1,6,壬申,壬寅,丙辰,,1692-01-06,1692-02-22,drop,□…□,(1행 缺),http://jiamdiary.info/iri/jad#D16920106,http://wiki.jiamdiary.info/16920106
D16920107,Diary,1692년1월7일,1692,1,7,壬申,壬寅,丁巳,,1692-01-07,1692-02-23,,陰,흐림,http://jiamdiary.info/iri/jad#D16920107,http://wiki.jiamdiary.info/16920107
D16920108,Diary,1692년1월8일,1692,1,8,壬申,壬寅,戊午,,1692-01-08,1692-02-24,drop,夜雪 晝陰陽或雪,밤에 눈. 낮은 흐리다 맑음. 혹은 눈.,http://jiamdiary.info/iri/jad#D16920108,http://wiki.jiamdiary.info/16920108
D16920109,Diary,1692년1월9일,1692,1,9,壬申,壬寅,己未,,1692-01-09,1692-02-25,,陽,맑음,http://jiamdiary.info/iri/jad#D16920109,http://wiki.jiamdiary.info/16920109
D16920110,Diary,1692년1월10일,1692,1,10,壬申,壬寅,庚申,,1692-01-10,1692-02-26,drop,陰陽,흐리다 맑음,http://jiamdiary.info/iri/jad#D16920110,http://wiki.jiamdiary.info/16920110
D16920111,Diary,1692년1월11일,1692,1,11,壬申,壬寅,辛酉,,1692-01-11,1692-02-27,,,,http://jiamdiary.info/iri/jad#D16920111,http://wiki.jiamdiary.info/16920111
D16920112,Diary,1692년1월12일,1692,1,12,壬申,壬寅,壬戌,,1692-01-12,1692-02-28,blank,,,http://jiamdiary.info/iri/jad#D16920112,http://wiki.jiamdiary.info/16920112
D16920113,Diary,1692년1월13일,1692,1,13,壬申,壬寅,癸亥,,1692-01-13,1692-02-28,blank,,,http://jiamdiary.info/iri/jad#D16920113,http://wiki.jiamdiary.info/16920113
D16920114,Diary,1692년1월14일,1692,1,14,壬申,壬寅,甲子,,1692-01-14,1692-03-01,blank,,,http://jiamdiary.info/iri/jad#D16920114,http://wiki.jiamdiary.info/16920114
D16920115,Diary,1692년1월15일,1692,1,15,壬申,壬寅,乙丑,,1692-01-15,1692-03-02,blank,,,http://jiamdiary.info/iri/jad#D16920115,http://wiki.jiamdiary.info/16920115
D16920116,Diary,1692년1월16일,1692,1,16,壬申,壬寅,丙寅,,1692-01-16,1692-03-03,blank,,,http://jiamdiary.info/iri/jad#D16920116,http://wiki.jiamdiary.info/16920116
D16920117,Diary,1692년1월17일,1692,1,17,壬申,壬寅,丁卯,,1692-01-17,1692-03-04,drop,,,http://jiamdiary.info/iri/jad#D16920117,http://wiki.jiamdiary.info/16920117
D16920118,Diary,1692년1월18일,1692,1,18,壬申,壬寅,戊辰,,1692-01-18,1692-03-05,drop,雨,비,http://jiamdiary.info/iri/jad#D16920118,http://wiki.jiamdiary.info/16920118
D16920119,Diary,1692년1월19일,1692,1,19,壬申,壬寅,己巳,,1692-01-19,1692-03-06,drop,風陽 午後雪下,맑고 바람. 오후에 눈 내림.,http://jiamdiary.info/iri/jad#D16920119,http://wiki.jiamdiary.info/16920119
D16920120,Diary,1692년1월20일,1692,1,20,壬申,壬寅, 庚午,,1692-01-20,1692-03-07,drop,□……□寒酷,□……□ 추위가 혹심함.,http://jiamdiary.info/iri/jad#D16920120,http://wiki.jiamdiary.info/16920120
D16920121,Diary,1692년1월21일,1692,1,21,壬申,壬寅,辛未,,1692-01-21,1692-03-08,,陽,맑음,http://jiamdiary.info/iri/jad#D16920121,http://wiki.jiamdiary.info/16920121
D16920122,Diary,1692년1월22일,1692,1,22,壬申,壬寅,壬申,,1692-01-22,1692-03-09,,雨下 向夕止,비가 내리다가 저녁 무렵 그침,http://jiamdiary.info/iri/jad#D16920122,http://wiki.jiamdiary.info/16920122
D16920123,Diary,1692년1월23일,1692,1,23,壬申,壬寅,癸酉,,1692-01-23,1692-03-10,,陽,맑음,http://jiamdiary.info/iri/jad#D16920123,http://wiki.jiamdiary.info/16920123
D16920124,Diary,1692년1월24일,1692,1,24,壬申,壬寅,甲戌,,1692-01-24,1692-03-11,drop,雨,비,http://jiamdiary.info/iri/jad#D16920124,http://wiki.jiamdiary.info/16920124
D16920125,Diary,1692년1월25일,1692,1,25,壬申,壬寅,乙亥,,1692-01-25,1692-03-12,drop,□……□到任□……□松之輩■■日滋■安掩耳以度 近來聞之 則松亦■無所犯 心欲斥之 而亦無顯著之事 姑且隱忍矣 今者 虎行到縣之日 有一小兒 路傍呈書卽走 此地人心之叵測 良可寒心 而松若無犯 則豈至於此 余亦不免爲松所誤 有此困境 始信聖人遠小人之訓 噬臍何及,(…)가 도임(到任)했다. (…) ,http://jiamdiary.info/iri/jad#D16920125,http://wiki.jiamdiary.info/16920125
D16920126,Diary,1692년1월26일,1692,1,26,壬申,壬寅,丙子,,1692-01-26,1692-03-13,,雨,비,http://jiamdiary.info/iri/jad#D16920126,http://wiki.jiamdiary.info/16920126
D16920127,Diary,1692년1월27일,1692,1,27,壬申,壬寅,丁丑,,1692-01-27,1692-03-14,,風陽,바람이 불고 맑음,http://jiamdiary.info/iri/jad#D16920127,http://wiki.jiamdiary.info/16920127
D16920128,Diary,1692년1월28일,1692,1,28,壬申,壬寅,戊寅,,1692-01-28,1692-03-15,,陽,맑음,http://jiamdiary.info/iri/jad#D16920128,http://wiki.jiamdiary.info/16920128
D16920129,Diary,1692년1월29일,1692,1,29,壬申,壬寅,己卯,,1692-01-29,1692-03-16,,風曀土雨,바람 불고 음산하며 흙비가 내림,http://jiamdiary.info/iri/jad#D16920129,http://wiki.jiamdiary.info/16920129
D16920130,Diary,1692년1월30일,1692,1,30,壬申,壬寅,庚辰,,1692-01-30,1692-03-17,,陽,맑음,http://jiamdiary.info/iri/jad#D16920130,http://wiki.jiamdiary.info/16920130
D169202,Diary,1692년2월,1692,2,,壬申,癸卯,,,,,,,,http://jiamdiary.info/iri/jad#D169202,http://wiki.jiamdiary.info/169202
D16920201,Diary,1692년2월1일,1692,2,1,壬申,癸卯,辛巳,,1692-02-01,1692-03-18,drop,陰,흐림,http://jiamdiary.info/iri/jad#D16920201,http://wiki.jiamdiary.info/16920201
D16920202,Diary,1692년2월2일,1692,2,2,壬申,癸卯,壬午,,1692-02-02,1692-03-19,damage,,,http://jiamdiary.info/iri/jad#D16920202,http://wiki.jiamdiary.info/16920202
D16920203,Diary,1692년2월3일,1692,2,3,壬申,癸卯,癸未,,1692-02-03,1692-03-20,damage,,,http://jiamdiary.info/iri/jad#D16920203,http://wiki.jiamdiary.info/16920203
D16920204,Diary,1692년2월4일,1692,2,4,壬申,癸卯,甲申,,1692-02-04,1692-03-21,drop,陽,맑음,http://jiamdiary.info/iri/jad#D16920204,http://wiki.jiamdiary.info/16920204
D16920205,Diary,1692년2월5일,1692,2,5,壬申,癸卯,乙酉,,1692-02-05,1692-03-22,,午後雨下,오후 비,http://jiamdiary.info/iri/jad#D16920205,http://wiki.jiamdiary.info/16920205
D16920206,Diary,1692년2월6일,1692,2,6,壬申,癸卯,丙戌,,1692-02-06,1692-03-23,blank,昨雨連朝 午後陽,어제 비가 아침까지 이어짐. 오후에 맑음.,http://jiamdiary.info/iri/jad#D16920206,http://wiki.jiamdiary.info/16920206
D16920207,Diary,1692년2월7일,1692,2,7,壬申,癸卯,丁亥,,1692-02-07,1692-03-24,,陽,맑음,http://jiamdiary.info/iri/jad#D16920207,http://wiki.jiamdiary.info/16920207
D16920208,Diary,1692년2월8일,1692,2,8,壬申,癸卯,戊子,,1692-02-08,1692-03-25,,陽,맑음,http://jiamdiary.info/iri/jad#D16920208,http://wiki.jiamdiary.info/16920208
D16920209,Diary,1692년2월9일,1692,2,9,壬申,癸卯,己丑,,1692-02-09,1692-03-26,blank,陽,맑음,http://jiamdiary.info/iri/jad#D16920209,http://wiki.jiamdiary.info/16920209
D16920210,Diary,1692년2월10일,1692,2,10,壬申,癸卯,庚寅,,1692-02-10,1692-03-27,damage,,,http://jiamdiary.info/iri/jad#D16920210,http://wiki.jiamdiary.info/16920210
D16920211,Diary,1692년2월11일,1692,2,11,壬申,癸卯,辛卯,,1692-02-11,1692-03-28,damage,,,http://jiamdiary.info/iri/jad#D16920211,http://wiki.jiamdiary.info/16920211
D16920212,Diary,1692년2월12일,1692,2,12,壬申,癸卯,壬辰,,1692-02-12,1692-03-29,damage,,,http://jiamdiary.info/iri/jad#D16920212,http://wiki.jiamdiary.info/16920212
D16920213,Diary,1692년2월13일,1692,2,13,壬申,癸卯,癸巳,,1692-02-13,1692-03-30,damage,,,http://jiamdiary.info/iri/jad#D16920213,http://wiki.jiamdiary.info/16920213
D16920214,Diary,1692년2월14일,1692,2,14,壬申,癸卯,甲午,,1692-02-14,1692-03-31,damage,,,http://jiamdiary.info/iri/jad#D16920214,http://wiki.jiamdiary.info/16920214
D16920215,Diary,1692년2월15일,1692,2,15,壬申,癸卯,乙未,,1692-02-15,1692-04-01,,陰陽,흐리다 맑음,http://jiamdiary.info/iri/jad#D16920215,http://wiki.jiamdiary.info/16920215
D16920216,Diary,1692년2월16일,1692,2,16,壬申,癸卯,丙申,,1692-02-16,1692-04-02,,陽,맑음,http://jiamdiary.info/iri/jad#D16920216,http://wiki.jiamdiary.info/16920216
D16920217,Diary,1692년2월17일,1692,2,17,壬申,癸卯,丁酉,,1692-02-17,1692-04-03,blank,陽,맑음,http://jiamdiary.info/iri/jad#D16920217,http://wiki.jiamdiary.info/16920217
D16920218,Diary,1692년2월18일,1692,2,18,壬申,癸卯,戊戌,,1692-02-18,1692-04-04,,朝霧晩陽,아침에 안개. 늦은 아침에야 맑음.,http://jiamdiary.info/iri/jad#D16920218,http://wiki.jiamdiary.info/16920218
D16920219,Diary,1692년2월19일,1692,2,19,壬申,癸卯,己亥,,1692-02-19,1692-04-05,drop,早朝雨洒 午後陽,이른 아침에 비 뿌리다가 오후에 맑음,http://jiamdiary.info/iri/jad#D16920219,http://wiki.jiamdiary.info/16920219
D16920220,Diary,1692년2월20일,1692,2,20,壬申,癸卯,庚子,,1692-02-20,1692-04-06,damage,,,http://jiamdiary.info/iri/jad#D16920220,http://wiki.jiamdiary.info/16920220
D16920221,Diary,1692년2월21일,1692,2,21,壬申,癸卯,辛丑,,1692-02-21,1692-04-07,damage,,,http://jiamdiary.info/iri/jad#D16920221,http://wiki.jiamdiary.info/16920221
D16920222,Diary,1692년2월22일,1692,2,22,壬申,癸卯,壬寅,,1692-02-22,1692-04-08,drop,,,http://jiamdiary.info/iri/jad#D16920222,http://wiki.jiamdiary.info/16920222
D16920223,Diary,1692년2월23일,1692,2,23,壬申,癸卯,癸卯,,1692-02-23,1692-04-09,,雨脚暫洒 終日風陰,빗발이 잠시 뿌림. 종일 바람이 불고 흐림,http://jiamdiary.info/iri/jad#D16920223,http://wiki.jiamdiary.info/16920223
D16920224,Diary,1692년2월24일,1692,2,24,壬申,癸卯,甲辰,,1692-02-24,1692-04-10,,夜洒小雨晩晴,밤에 가랑비 뿌림. 늦은 아침에 갬,http://jiamdiary.info/iri/jad#D16920224,http://wiki.jiamdiary.info/16920224
D16920225,Diary,1692년2월25일,1692,2,25,壬申,癸卯,乙巳,,1692-02-25,1692-04-11,,風陽,바람 불고 맑음,http://jiamdiary.info/iri/jad#D16920225,http://wiki.jiamdiary.info/16920225
D16920226,Diary,1692년2월26일,1692,2,26,壬申,癸卯,丙午,,1692-02-26,1692-04-12,,陽,맑음,http://jiamdiary.info/iri/jad#D16920226,http://wiki.jiamdiary.info/16920226
D16920227,Diary,1692년2월27일,1692,2,27,壬申,癸卯,丁未,,1692-02-27,1692-04-13,,陽,맑음,http://jiamdiary.info/iri/jad#D16920227,http://wiki.jiamdiary.info/16920227
D16920228,Diary,1692년2월28일,1692,2,28,壬申,癸卯,戊申,,1692-02-28,1692-04-14,,陽,맑음,http://jiamdiary.info/iri/jad#D16920228,http://wiki.jiamdiary.info/16920228
D16920229,Diary,1692년2월29일,1692,2,29,壬申,癸卯,己酉,,1692-02-29,1692-04-15,,陽,맑음,http://jiamdiary.info/iri/jad#D16920229,http://wiki.jiamdiary.info/16920229
D169203,Diary,1692년3월,1692,3,,壬申,甲辰,,,,,,,,http://jiamdiary.info/iri/jad#D169203,http://wiki.jiamdiary.info/169203
D16920301,Diary,1692년3월1일,1692,3,1,壬申,甲辰,庚戌,,1692-03-01,1692-04-16,,朝陰晩陽,아침에 흐리다가 늦은 아침에야 맑아짐,http://jiamdiary.info/iri/jad#D16920301,http://wiki.jiamdiary.info/16920301
D16920302,Diary,1692년3월2일,1692,3,2,壬申,甲辰,辛亥,,1692-03-02,1692-04-17,damage,,,http://jiamdiary.info/iri/jad#D16920302,http://wiki.jiamdiary.info/16920302
D16920303,Diary,1692년3월3일,1692,3,3,壬申,甲辰,壬子,,1692-03-03,1692-04-18,damage,,,http://jiamdiary.info/iri/jad#D16920303,http://wiki.jiamdiary.info/16920303
D16920304,Diary,1692년3월4일,1692,3,4,壬申,甲辰,癸丑,,1692-03-04,1692-04-19,damage,,,http://jiamdiary.info/iri/jad#D16920304,http://wiki.jiamdiary.info/16920304
D16920305,Diary,1692년3월5일,1692,3,5,壬申,甲辰,甲寅,,1692-03-05,1692-04-20,,陽,맑음,http://jiamdiary.info/iri/jad#D16920305,http://wiki.jiamdiary.info/16920305
D16920306,Diary,1692년3월6일,1692,3,6,壬申,甲辰,乙卯,,1692-03-06,1692-04-21,,陽,맑음,http://jiamdiary.info/iri/jad#D16920306,http://wiki.jiamdiary.info/16920306
D16920307,Diary,1692년3월7일,1692,3,7,壬申,甲辰,丙辰,,1692-03-07,1692-04-22,,陽,맑음,http://jiamdiary.info/iri/jad#D16920307,http://wiki.jiamdiary.info/16920307
D16920308,Diary,1692년3월8일,1692,3,8,壬申,甲辰,丁巳,,1692-03-08,1692-04-23,,陽,맑음,http://jiamdiary.info/iri/jad#D16920308,http://wiki.jiamdiary.info/16920308
D16920309,Diary,1692년3월9일,1692,3,9,壬申,甲辰,戊午,,1692-03-09,1692-04-24,drop,陽,맑음,http://jiamdiary.info/iri/jad#D16920309,http://wiki.jiamdiary.info/16920309
D16920310,Diary,1692년3월10일,1692,3,10,壬申,甲辰,己未,,1692-03-10,1692-04-25,damage,,,http://jiamdiary.info/iri/jad#D16920310,http://wiki.jiamdiary.info/16920310
D16920311,Diary,1692년3월11일,1692,3,11,壬申,甲辰,庚申,,1692-03-11,1692-04-26,drop,,,http://jiamdiary.info/iri/jad#D16920311,http://wiki.jiamdiary.info/16920311
D16920312,Diary,1692년3월12일,1692,3,12,壬申,甲辰,辛酉,,1692-03-12,1692-04-27,,陽,맑음,http://jiamdiary.info/iri/jad#D16920312,http://wiki.jiamdiary.info/16920312
D16920313,Diary,1692년3월13일,1692,3,13,壬申,甲辰,壬戌,,1692-03-13,1692-04-28,,陽,맑음,http://jiamdiary.info/iri/jad#D16920313,http://wiki.jiamdiary.info/16920313
D16920314,Diary,1692년3월14일,1692,3,14,壬申,甲辰,癸亥,,1692-03-14,1692-04-29,,陰,흐림,http://jiamdiary.info/iri/jad#D16920314,http://wiki.jiamdiary.info/16920314
D16920315,Diary,1692년3월15일,1692,3,15,壬申,甲辰,甲子,,1692-03-15,1692-04-30,,陰陽,흐리다 맑음,http://jiamdiary.info/iri/jad#D16920315,http://wiki.jiamdiary.info/16920315
D16920316,Diary,1692년3월16일,1692,3,16,壬申,甲辰,乙丑,,1692-03-16,1692-05-01,,雨灑,비가 뿌림.,http://jiamdiary.info/iri/jad#D16920316,http://wiki.jiamdiary.info/16920316
D16920317,Diary,1692년3월17일,1692,3,17,壬申,甲辰,丙寅,,1692-03-17,1692-05-02,blank,陽,맑음,http://jiamdiary.info/iri/jad#D16920317,http://wiki.jiamdiary.info/16920317
D16920318,Diary,1692년3월18일,1692,3,18,壬申,甲辰,丁卯,,1692-03-18,1692-05-03,drop,陽,맑음,http://jiamdiary.info/iri/jad#D16920318,http://wiki.jiamdiary.info/16920318
D16920319,Diary,1692년3월19일,1692,3,19,壬申,甲辰,戊辰,,1692-03-19,1692-05-04,,陽,맑음,http://jiamdiary.info/iri/jad#D16920319,http://wiki.jiamdiary.info/16920319
D16920320,Diary,1692년3월20일,1692,3,20,壬申,甲辰,己巳,,1692-03-20,1692-05-05,,陽,맑음,http://jiamdiary.info/iri/jad#D16920320,http://wiki.jiamdiary.info/16920320
D16920321,Diary,1692년3월21일,1692,3,21,壬申,甲辰,庚午,,1692-03-21,1692-05-06,,陽,맑음,http://jiamdiary.info/iri/jad#D16920321,http://wiki.jiamdiary.info/16920321
D16920322,Diary,1692년3월22일,1692,3,22,壬申,甲辰,辛未,,1692-03-22,1692-05-07,,陽,맑음,http://jiamdiary.info/iri/jad#D16920322,http://wiki.jiamdiary.info/16920322
D16920323,Diary,1692년3월23일,1692,3,23,壬申,甲辰,壬申,,1692-03-23,1692-05-08,,陰陽,흐리고 맑음,http://jiamdiary.info/iri/jad#D16920323,http://wiki.jiamdiary.info/16920323
D16920324,Diary,1692년3월24일,1692,3,24,壬申,甲辰,癸酉,,1692-03-24,1692-05-09,,風急 午後雨洒 未夕而止,바람이 세게 붐. 오후에 비가 뿌렸다가 저녁 전에 그침.,http://jiamdiary.info/iri/jad#D16920324,http://wiki.jiamdiary.info/16920324
D16920325,Diary,1692년3월25일,1692,3,25,壬申,甲辰,甲戌,,1692-03-25,1692-05-10,drop,맑음,맑음,http://jiamdiary.info/iri/jad#D16920325,http://wiki.jiamdiary.info/16920325
D16920326,Diary,1692년3월26일,1692,3,26,壬申,甲辰,乙亥,,1692-03-26,1692-05-11,drop,陽,맑음,http://jiamdiary.info/iri/jad#D16920326,http://wiki.jiamdiary.info/16920326
D16920327,Diary,1692년3월27일,1692,3,27,壬申,甲辰,丙子,,1692-03-27,1692-05-12,,陽,맑음,http://jiamdiary.info/iri/jad#D16920327,http://wiki.jiamdiary.info/16920327
D16920328,Diary,1692년3월28일,1692,3,28,壬申,甲辰,丁丑,,1692-03-28,1692-05-13,,雨點乍洒,빗방울이 잠깐 뿌림,http://jiamdiary.info/iri/jad#D16920328,http://wiki.jiamdiary.info/16920328
D16920329,Diary,1692년3월29일,1692,3,29,壬申,甲辰,戊寅,,1692-03-29,1692-05-14,,陽,맑음,http://jiamdiary.info/iri/jad#D16920329,http://wiki.jiamdiary.info/16920329
D16920330,Diary,1692년3월30일,1692,3,30,壬申,甲辰,己卯,,1692-03-30,1692-05-15,drop,小雨,가랑비,http://jiamdiary.info/iri/jad#D16920330,http://wiki.jiamdiary.info/16920330
D169204,Diary,1692년4월,1692,4,,壬申,乙巳,,,,,,,,http://jiamdiary.info/iri/jad#D169204,http://wiki.jiamdiary.info/169204
D16920401,Diary,1692년4월1일,1692,4,1,壬申,乙巳,庚辰,,1692-04-01,1692-05-16,damage,,,http://jiamdiary.info/iri/jad#D16920401,http://wiki.jiamdiary.info/16920401
D16920402,Diary,1692년4월2일,1692,4,2,壬申,乙巳,辛巳,,1692-04-02,1692-05-17,damage,,,http://jiamdiary.info/iri/jad#D16920402,http://wiki.jiamdiary.info/16920402
D16920403,Diary,1692년4월3일,1692,4,3,壬申,乙巳,壬午,,1692-04-03,1692-05-18,,夜雨晝陰霏,밤에 비 오고 낮에 흐리고 안개,http://jiamdiary.info/iri/jad#D16920403,http://wiki.jiamdiary.info/16920403
D16920404,Diary,1692년4월4일,1692,4,4,壬申,乙巳,癸未,,1692-04-04,1692-05-19,,陽,맑음,http://jiamdiary.info/iri/jad#D16920404,http://wiki.jiamdiary.info/16920404
D16920405,Diary,1692년4월5일,1692,4,5,壬申,乙巳,甲申,,1692-04-05,1692-05-20,,陽,맑음,http://jiamdiary.info/iri/jad#D16920405,http://wiki.jiamdiary.info/16920405
D16920406,Diary,1692년4월6일,1692,4,6,壬申,乙巳,乙酉,,1692-04-06,1692-05-21,,陽,맑음,http://jiamdiary.info/iri/jad#D16920406,http://wiki.jiamdiary.info/16920406
D16920407,Diary,1692년4월7일,1692,4,7,壬申,乙巳,丙戌,,1692-04-07,1692-05-22,,陽,맑음,http://jiamdiary.info/iri/jad#D16920407,http://wiki.jiamdiary.info/16920407
D16920408,Diary,1692년4월8일,1692,4,8,壬申,乙巳,丁亥,,1692-04-08,1692-05-23,,陽陰,맑다가 흐림,http://jiamdiary.info/iri/jad#D16920408,http://wiki.jiamdiary.info/16920408
D16920409,Diary,1692년4월9일,1692,4,9,壬申,乙巳,戊子,,1692-04-09,1692-05-24,,陽,맑음,http://jiamdiary.info/iri/jad#D16920409,http://wiki.jiamdiary.info/16920409
D16920410,Diary,1692년4월10일,1692,4,10,壬申,乙巳,己丑,,1692-04-10,1692-05-25,drop,朝陽午雨,아침에 맑고 낮에 비,http://jiamdiary.info/iri/jad#D16920410,http://wiki.jiamdiary.info/16920410
D16920411,Diary,1692년4월11일,1692,4,11,壬申,乙巳,庚寅,,1692-04-11,1692-05-26,drop,,,http://jiamdiary.info/iri/jad#D16920411,http://wiki.jiamdiary.info/16920411
D16920412,Diary,1692년4월12일,1692,4,12,壬申,乙巳,辛卯,,1692-04-12,1692-05-27,,陽,맑음,http://jiamdiary.info/iri/jad#D16920412,http://wiki.jiamdiary.info/16920412
D16920413,Diary,1692년4월13일,1692,4,13,壬申,乙巳,壬辰,,1692-04-13,1692-05-28,,陽,맑음,http://jiamdiary.info/iri/jad#D16920413,http://wiki.jiamdiary.info/16920413
D16920414,Diary,1692년4월14일,1692,4,14,壬申,乙巳,癸巳,,1692-04-14,1692-05-29,,陽,맑음,http://jiamdiary.info/iri/jad#D16920414,http://wiki.jiamdiary.info/16920414
D16920415,Diary,1692년4월15일,1692,4,15,壬申,乙巳,甲午,,1692-04-15,1692-05-30,drop,陰陽,흐리다 맑음,http://jiamdiary.info/iri/jad#D16920415,http://wiki.jiamdiary.info/16920415
D16920416,Diary,1692년4월16일,1692,4,16,壬申,乙巳,乙未,,1692-04-16,1692-05-31,drop,,,http://jiamdiary.info/iri/jad#D16920416,http://wiki.jiamdiary.info/16920416
D16920417,Diary,1692년4월17일,1692,4,17,壬申,乙巳,丙申,,1692-04-17,1692-06-01,,陽,맑음,http://jiamdiary.info/iri/jad#D16920417,http://wiki.jiamdiary.info/16920417
D16920418,Diary,1692년4월18일,1692,4,18,壬申,乙巳,丁酉,,1692-04-18,1692-06-02,,陽,맑음,http://jiamdiary.info/iri/jad#D16920418,http://wiki.jiamdiary.info/16920418
D16920419,Diary,1692년4월19일,1692,4,19,壬申,乙巳,戊戌,,1692-04-19,1692-06-03,,陽,맑음,http://jiamdiary.info/iri/jad#D16920419,http://wiki.jiamdiary.info/16920419
D16920420,Diary,1692년4월20일,1692,4,20,壬申,乙巳,己亥,,1692-04-20,1692-06-04,,陽,맑음,http://jiamdiary.info/iri/jad#D16920420,http://wiki.jiamdiary.info/16920420
D16920421,Diary,1692년4월21일,1692,4,21,壬申,乙巳,庚子,,1692-04-21,1692-06-05,,陽,맑음,http://jiamdiary.info/iri/jad#D16920421,http://wiki.jiamdiary.info/16920421
D16920422,Diary,1692년4월22일,1692,4,22,壬申,乙巳,辛丑,,1692-04-22,1692-06-06,,晩朝雨來 終夕不止,아침 늦게 비가 오기 시작해서 저녁 내내 그치지 않음,http://jiamdiary.info/iri/jad#D16920422,http://wiki.jiamdiary.info/16920422
D16920423,Diary,1692년4월23일,1692,4,23,壬申,乙巳,壬寅,,1692-04-23,1692-06-07,,陰,흐림,http://jiamdiary.info/iri/jad#D16920423,http://wiki.jiamdiary.info/16920423
D16920424,Diary,1692년4월24일,1692,4,24,壬申,乙巳,癸卯,,1692-04-24,1692-06-08,,陽,맑음,http://jiamdiary.info/iri/jad#D16920424,http://wiki.jiamdiary.info/16920424
D16920425,Diary,1692년4월25일,1692,4,25,壬申,乙巳,甲辰,,1692-04-25,1692-06-09,drop,陽,맑음,http://jiamdiary.info/iri/jad#D16920425,http://wiki.jiamdiary.info/16920425
D16920426,Diary,1692년4월26일,1692,4,26,壬申,乙巳,乙巳,,1692-04-26,1692-06-10,,陰陽,흐리다 맑음,http://jiamdiary.info/iri/jad#D16920426,http://wiki.jiamdiary.info/16920426
D16920427,Diary,1692년4월27일,1692,4,27,壬申,乙巳,丙午,,1692-04-27,1692-06-11,,夜來小雨朝止,밤에 비가 조금 오고 아침에 그침,http://jiamdiary.info/iri/jad#D16920427,http://wiki.jiamdiary.info/16920427
D16920428,Diary,1692년4월28일,1692,4,28,壬申,乙巳,丁未,,1692-04-28,1692-06-12,,陽,맑음,http://jiamdiary.info/iri/jad#D16920428,http://wiki.jiamdiary.info/16920428
D16920429,Diary,1692년4월29일,1692,4,29,壬申,乙巳,戊申,,1692-04-29,1692-06-13,,陽,맑음,http://jiamdiary.info/iri/jad#D16920429,http://wiki.jiamdiary.info/16920429
D16920430,Diary,1692년4월30일,1692,4,30,壬申,乙巳,己酉,,1692-04-30,1692-06-14,,陽,맑음,http://jiamdiary.info/iri/jad#D16920430,http://wiki.jiamdiary.info/16920430
D169205,Diary,1692년5월,1692,5,,壬申,丙午,,,,,,,,http://jiamdiary.info/iri/jad#D169205,http://wiki.jiamdiary.info/169205
D16920501,Diary,1692년5월1일,1692,5,1,壬申,丙午,庚戌,,1692-05-01,1692-06-15,,陽,맑음,http://jiamdiary.info/iri/jad#D16920501,http://wiki.jiamdiary.info/16920501
D16920502,Diary,1692년5월2일,1692,5,2,壬申,丙午,辛亥,,1692-05-02,1692-06-16,,陰,흐림,http://jiamdiary.info/iri/jad#D16920502,http://wiki.jiamdiary.info/16920502
D16920503,Diary,1692년5월3일,1692,5,3,壬申,丙午,壬子,,1692-05-03,1692-06-17,,乍雨竝溫,잠깐 비가 오고 따뜻함,http://jiamdiary.info/iri/jad#D16920503,http://wiki.jiamdiary.info/16920503
D16920504,Diary,1692년5월4일,1692,5,4,壬申,丙午,癸丑,,1692-05-04,1692-06-18,,陽,맑음,http://jiamdiary.info/iri/jad#D16920504,http://wiki.jiamdiary.info/16920504
D16920505,Diary,1692년5월5일,1692,5,5,壬申,丙午,甲寅,,1692-05-05,1692-06-19,drop,陽,맑음,http://jiamdiary.info/iri/jad#D16920505,http://wiki.jiamdiary.info/16920505
D16920506,Diary,1692년5월6일,1692,5,6,壬申,丙午,乙卯,,1692-05-06,1692-06-20,damage,,,http://jiamdiary.info/iri/jad#D16920506,http://wiki.jiamdiary.info/16920506
