id,sourceid,targetid,relation,prefixrelation
133,N1694081702,P0048,mentions,ekc:mentions
134,N1694090203,P0048,mentions,ekc:mentions
135,N1694092305,P0048,mentions,ekc:mentions
136,N1694102201,P0048,mentions,ekc:mentions
137,N1695022618,P0048,mentions,ekc:mentions
138,N1695041306,P0048,mentions,ekc:mentions
139,N1695080105,P0048,mentions,ekc:mentions
140,N1695080401,P0048,mentions,ekc:mentions
141,N1695080402,P0048,mentions,ekc:mentions
142,N1695093002,P0048,mentions,ekc:mentions
143,N1695101202,P0048,mentions,ekc:mentions
144,N1695112102,P0048,mentions,ekc:mentions
145,N1696011001,P0048,mentions,ekc:mentions
146,N1696020302,P0048,mentions,ekc:mentions
147,N1696021105,P0048,mentions,ekc:mentions
148,N1696042103,P0048,mentions,ekc:mentions
149,N1696071701,P0048,mentions,ekc:mentions
150,N1696080703,P0048,mentions,ekc:mentions
151,N1696081502,P0048,mentions,ekc:mentions
152,N1696082601,P0048,mentions,ekc:mentions
153,N1696102206,P0048,mentions,ekc:mentions
154,N1696111105,P0048,mentions,ekc:mentions
155,N1696122503,P0048,mentions,ekc:mentions
156,N1697012001,P0048,mentions,ekc:mentions
157,N1697032407L,P0048,mentions,ekc:mentions
158,N1697032504L,P0048,mentions,ekc:mentions
159,N1697052004,P0048,mentions,ekc:mentions
160,N1697052005,P0048,mentions,ekc:mentions
161,N1697052006,P0048,mentions,ekc:mentions
162,N1697052303,P0048,mentions,ekc:mentions
163,N1697052604,P0048,mentions,ekc:mentions
164,N1697052605,P0048,mentions,ekc:mentions
165,N1697052704,P0048,mentions,ekc:mentions
166,N1698021004,P0048,mentions,ekc:mentions
167,N1694041403,P0049,mentions,ekc:mentions
168,N1694051403,P0049,mentions,ekc:mentions
169,N1694051500,P0049,mentions,ekc:mentions
170,N1694051603,P0049,mentions,ekc:mentions
171,N1694051702,P0049,mentions,ekc:mentions
172,N1694051902,P0049,mentions,ekc:mentions
173,N1694052807L,P0049,mentions,ekc:mentions
174,N1694061401,P0049,mentions,ekc:mentions
175,N1694071801,P0049,mentions,ekc:mentions
176,N1694072502,P0049,mentions,ekc:mentions
177,N1694072802,P0049,mentions,ekc:mentions
178,N1694080401,P0049,mentions,ekc:mentions
179,N1694080803,P0049,mentions,ekc:mentions
180,N1694112203,P0049,mentions,ekc:mentions
181,N1694112903,P0049,mentions,ekc:mentions
182,N1694122101,P0049,mentions,ekc:mentions
183,N1695010404,P0049,mentions,ekc:mentions
184,N1695012503,P0049,mentions,ekc:mentions
185,N1695022618,P0049,mentions,ekc:mentions
186,N1695041306,P0049,mentions,ekc:mentions
187,N1695050302,P0049,mentions,ekc:mentions
188,N1695051204,P0049,mentions,ekc:mentions
189,N1695052006,P0049,mentions,ekc:mentions
190,N1695062005,P0049,mentions,ekc:mentions
191,N1695072504,P0049,mentions,ekc:mentions
192,N1695072801,P0049,mentions,ekc:mentions
193,N1695080301,P0049,mentions,ekc:mentions
194,N1695080401,P0049,mentions,ekc:mentions
195,N1695080703,P0049,mentions,ekc:mentions
196,N1695082300,P0049,mentions,ekc:mentions
197,N1695082403,P0049,mentions,ekc:mentions
198,N1695091201,P0049,mentions,ekc:mentions
199,N1695110502,P0049,mentions,ekc:mentions
200,N1695112101,P0049,mentions,ekc:mentions
201,N1695112201,P0049,mentions,ekc:mentions
202,N1696012705,P0049,mentions,ekc:mentions
203,N1696020302,P0049,mentions,ekc:mentions
204,N1696020504,P0049,mentions,ekc:mentions
205,N1696021105,P0049,mentions,ekc:mentions
206,N1696023001,P0049,mentions,ekc:mentions
207,N1696030104,P0049,mentions,ekc:mentions
208,N1696031002,P0049,mentions,ekc:mentions
209,N1696031104,P0049,mentions,ekc:mentions
210,N1696061405,P0049,mentions,ekc:mentions
211,N1697032407L,P0049,mentions,ekc:mentions
212,N1697052605,P0049,mentions,ekc:mentions
213,N1697101001,P0049,mentions,ekc:mentions
214,N1697010202,P0050,mentions,ekc:mentions
215,N1697110903,P0050,mentions,ekc:mentions
216,N1698020600,P0050,mentions,ekc:mentions
217,N1698022303,P0050,mentions,ekc:mentions
218,N1698040504,P0050,mentions,ekc:mentions
219,N1698051902,P0050,mentions,ekc:mentions
220,N1694090203,P0051,mentions,ekc:mentions
221,N1694092305,P0051,mentions,ekc:mentions
222,N1693071502,P0052,mentions,ekc:mentions
223,N1696080202,P0052,mentions,ekc:mentions
224,N1693122706,P0053,mentions,ekc:mentions
225,N1696051804,P0054,mentions,ekc:mentions
226,N1693041102,P0055,mentions,ekc:mentions
227,N1693092101,P0055,mentions,ekc:mentions
228,N1693112403,P0055,mentions,ekc:mentions
229,N1694010302,P0055,mentions,ekc:mentions
230,N1694021102,P0055,mentions,ekc:mentions
