id,sourceid,targetid,relation,prefixrelation
106,N1696102804,F105,isRelevantTo,jad:isRelevantTo
107,N1696111904,F106,isRelevantTo,jad:isRelevantTo
108,N1696120402,F107,isRelevantTo,jad:isRelevantTo
109,N1696122602,F108,isRelevantTo,jad:isRelevantTo
110,N1696122603,F109,isRelevantTo,jad:isRelevantTo
111,N1697010604,F110,isRelevantTo,jad:isRelevantTo
112,N1696122503,F111,isRelevantTo,jad:isRelevantTo
113,N1697010502,F112,isRelevantTo,jad:isRelevantTo
114,N1697010502,F113,isRelevantTo,jad:isRelevantTo
115,N1697012502,F114,isRelevantTo,jad:isRelevantTo
116,N1697020402,F115,isRelevantTo,jad:isRelevantTo
117,N1697011904,F116,isRelevantTo,jad:isRelevantTo
118,N1697010605,F117,isRelevantTo,jad:isRelevantTo
119,N1697031704L,F118,isRelevantTo,jad:isRelevantTo
120,N1697031703L,F119,isRelevantTo,jad:isRelevantTo
121,N1697031705L,F120,isRelevantTo,jad:isRelevantTo
122,N1697030904L,F121,isRelevantTo,jad:isRelevantTo
123,N1697032300L,F122,isRelevantTo,jad:isRelevantTo
124,N1697031407L,F123,isRelevantTo,jad:isRelevantTo
125,N1697032300L,F124,isRelevantTo,jad:isRelevantTo
126,N1697040308,F125,isRelevantTo,jad:isRelevantTo
127,N1697041500,F126,isRelevantTo,jad:isRelevantTo
128,N1697042306,F127,isRelevantTo,jad:isRelevantTo
129,N1697042306,F128,isRelevantTo,jad:isRelevantTo
130,N1697052003,F129,isRelevantTo,jad:isRelevantTo
131,N1697050704,F130,isRelevantTo,jad:isRelevantTo
132,N1697051903,F130,isRelevantTo,jad:isRelevantTo
133,N1697052003,F131,isRelevantTo,jad:isRelevantTo
134,N1697091502,F132,isRelevantTo,jad:isRelevantTo
135,N1697090904,F133,isRelevantTo,jad:isRelevantTo
136,N1697100906,F134,isRelevantTo,jad:isRelevantTo
137,N1697101507,F134,isRelevantTo,jad:isRelevantTo
138,N1697100905,F135,isRelevantTo,jad:isRelevantTo
139,N1697100904,F136,isRelevantTo,jad:isRelevantTo
140,N1697100904,F137,isRelevantTo,jad:isRelevantTo
141,N1697101404,F138,isRelevantTo,jad:isRelevantTo
142,N1698021504,F139,isRelevantTo,jad:isRelevantTo
143,N1698011608,F140,isRelevantTo,jad:isRelevantTo
144,N1698021505,F141,isRelevantTo,jad:isRelevantTo
145,N1698021506,F142,isRelevantTo,jad:isRelevantTo
146,N1698030705,F143,isRelevantTo,jad:isRelevantTo
147,N1698040407,F144,isRelevantTo,jad:isRelevantTo
148,N1698030705,F145,isRelevantTo,jad:isRelevantTo
149,N1698060103,F146,isRelevantTo,jad:isRelevantTo
150,N1698060103,F147,isRelevantTo,jad:isRelevantTo
151,N1698071908,F148,isRelevantTo,jad:isRelevantTo
152,N1698071909,F149,isRelevantTo,jad:isRelevantTo
153,N1698071908,F150,isRelevantTo,jad:isRelevantTo
154,N1698072201,F151,isRelevantTo,jad:isRelevantTo
155,N1698090604,F152,isRelevantTo,jad:isRelevantTo
156,N1698090604,F153,isRelevantTo,jad:isRelevantTo
157,N1698071908,F154,isRelevantTo,jad:isRelevantTo
158,N1698101304,F155,isRelevantTo,jad:isRelevantTo
159,N1698110704,F156,isRelevantTo,jad:isRelevantTo
160,N1698102503,F157,isRelevantTo,jad:isRelevantTo
161,N1698110704,F158,isRelevantTo,jad:isRelevantTo
162,N1699020402,F159,isRelevantTo,jad:isRelevantTo
163,N1698110704,F160,isRelevantTo,jad:isRelevantTo
164,N1698112404,F161,isRelevantTo,jad:isRelevantTo
165,N1698112402,F162,isRelevantTo,jad:isRelevantTo
166,N1699020802,F163,isRelevantTo,jad:isRelevantTo
167,N1699021002,F164,isRelevantTo,jad:isRelevantTo
168,N1699020802,F165,isRelevantTo,jad:isRelevantTo
169,N1699021101,F166,isRelevantTo,jad:isRelevantTo
170,N1699021502,F166,isRelevantTo,jad:isRelevantTo
171,N1699021904,F167,isRelevantTo,jad:isRelevantTo
172,N1699021904,F168,isRelevantTo,jad:isRelevantTo
173,N1699022102,F169,isRelevantTo,jad:isRelevantTo
174,N1699031003,F170,isRelevantTo,jad:isRelevantTo
175,N1699020302,F171,isRelevantTo,jad:isRelevantTo
176,N1699041202,F172,isRelevantTo,jad:isRelevantTo
177,N1699041202,F173,isRelevantTo,jad:isRelevantTo
178,N1699070704,F174,isRelevantTo,jad:isRelevantTo
179,N1699070102,F175,isRelevantTo,jad:isRelevantTo
180,N1699071903,F176,isRelevantTo,jad:isRelevantTo
181,N1699071705L,F177,isRelevantTo,jad:isRelevantTo
182,N1693052004,F178,isRelevantTo,jad:isRelevantTo
183,N1693121605,F179,isRelevantTo,jad:isRelevantTo
184,N1693121605,F180,isRelevantTo,jad:isRelevantTo
185,N1697041202,F181,isRelevantTo,jad:isRelevantTo
186,N1697041202,F182,isRelevantTo,jad:isRelevantTo
187,N1692031303,F183,isRelevantTo,jad:isRelevantTo
188,N1692031303,F184,isRelevantTo,jad:isRelevantTo
189,N1692031303,F185,isRelevantTo,jad:isRelevantTo
190,N1692031303,F186,isRelevantTo,jad:isRelevantTo
