id,sourceid,targetid,relation,prefixrelation,defaults,familytree,ftdirectline,ftgeneration,politicalrelationship,orders
481,P0049,P0048,hasSon,ekc:hasSon,,,,,politicalRelationship,
482,P0049,P5003,hasSon,ekc:hasSon,,,,,politicalRelationship,
483,P0049,P5070,hasDaughter,ekc:hasDaughter,,,,,politicalRelationship,
484,P1557,P5070,hasWife,ekc:hasWife,,,,,politicalRelationship,
485,P5010,P0080,hasSon,ekc:hasSon,,,,,politicalRelationship,
486,P5004,P0076,hasSon,ekc:hasSon,,,,,politicalRelationship,
487,P5003,P0068,hasSon,ekc:hasSon,,,,,politicalRelationship,
488,P5009,P0082,hasSon,ekc:hasSon,,,,,politicalRelationship,
489,P5009,P5075,hasDaughter,ekc:hasDaughter,,,,,politicalRelationship,
490,P5027,P5075,hasWife,ekc:hasWife,,,,,politicalRelationship,
491,P0122,P0157,hasSon,ekc:hasSon,,,,,politicalRelationship,
492,P5011,P5002,hasSon,ekc:hasSon,,,,,politicalRelationship,
493,P5011,P5012,hasSon,ekc:hasSon,,,,,politicalRelationship,
494,P5011,P5013,hasSon,ekc:hasSon,,,,,politicalRelationship,
495,P5002,P0396,hasSon,ekc:hasSon,,,,,politicalRelationship,
496,P5002,P0397,hasSon,ekc:hasSon,,,,,politicalRelationship,
497,P5012,P0396,hasAdoptedHeir,ekc:hasAdoptedHeir,,,,,politicalRelationship,
498,P5002,P5064,hasDaughter,ekc:hasDaughter,,,,,politicalRelationship,
499,P0098,P5064,hasWife,ekc:hasWife,,,,,politicalRelationship,
500,P5013,P5086,hasDaughter,ekc:hasDaughter,,,,,politicalRelationship,
501,P5043,P5086,hasWife,ekc:hasWife,,,,,politicalRelationship,
502,P5014,P5015,hasSon,ekc:hasSon,,,,,politicalRelationship,
503,P5014,P5071,hasDaughter,ekc:hasDaughter,,,,,politicalRelationship,
504,P5022,P5071,hasWife,ekc:hasWife,,,,,politicalRelationship,
505,P5015,P5017,hasSon,ekc:hasSon,,,,,politicalRelationship,2
506,P5015,P0425,hasSon,ekc:hasSon,,,,,politicalRelationship,3
507,P5015,P0427,hasSon,ekc:hasSon,,,,,politicalRelationship,5
508,P0425,P5073,hasDaughter,ekc:hasDaughter,,,,,politicalRelationship,
509,P0425,P0423,hasAdoptedHeir,ekc:hasAdoptedHeir,,,,,politicalRelationship,
510,P5030,P5073,hasWife,ekc:hasWife,,,,,politicalRelationship,
511,P0427,P0423,hasSon,ekc:hasSon,,,,,politicalRelationship,
512,P0423,P3154,hasWife,ekc:hasWife,,,,,politicalRelationship,
513,P1687,P3154,hasDaughter,ekc:hasDaughter,,,,,politicalRelationship,
514,P0427,P5016,hasSon,ekc:hasSon,,,,,politicalRelationship,
515,P0068,P5085,hasDaughter,ekc:hasDaughter,,,,,politicalRelationship,
516,P5016,P5085,hasWife,ekc:hasWife,,,,,politicalRelationship,
517,P5032,P5084,hasDaughter,ekc:hasDaughter,,,,,politicalRelationship,
518,P5016,P5084,hasWife,ekc:hasWife,,,,,politicalRelationship,
519,P5033,P5020,hasSon,ekc:hasSon,,,,,politicalRelationship,
520,P5033,P5021,hasSon,ekc:hasSon,,,,,politicalRelationship,
521,P5033,P5026,hasSon,ekc:hasSon,,,,,politicalRelationship,
522,P5020,P5031,hasSuccessor,ekc:hasSuccessor,,,,,politicalRelationship,
523,P5021,P5018,hasSon,ekc:hasSon,,,,,politicalRelationship,
524,P5021,P0459,hasSon,ekc:hasSon,,,,,politicalRelationship,
525,P5021,P5019,hasSon,ekc:hasSon,,,,,politicalRelationship,
526,P5026,P5022,hasSon,ekc:hasSon,,,,,politicalRelationship,
527,P5026,P5031,hasSon,ekc:hasSon,,,,,politicalRelationship,
528,P5031,P5027,hasSon,ekc:hasSon,,,,,politicalRelationship,
529,P5022,P5027,hasAdoptedHeir,ekc:hasAdoptedHeir,,,,,politicalRelationship,
530,P5031,P5074,hasDaughter,ekc:hasDaughter,,,,,politicalRelationship,
531,P0948,P5074,hasWife,ekc:hasWife,,,,,politicalRelationship,
532,P5018,P5023,hasSon,ekc:hasSon,,,,,politicalRelationship,
533,P5018,P5024,hasSon,ekc:hasSon,,,,,politicalRelationship,
534,P5018,P3032,hasSon,ekc:hasSon,,,,,politicalRelationship,
535,P5024,P5032,hasSon,ekc:hasSon,,,,,politicalRelationship,
536,P5023,P5028,hasSon,ekc:hasSon,,,,,politicalRelationship,
537,P3032,P5029,hasSon,ekc:hasSon,,,,,politicalRelationship,
538,P0805,P5072,hasDaughter,ekc:hasDaughter,,,,,politicalRelationship,
539,P5028,P5072,hasWife,ekc:hasWife,,,,,politicalRelationship,
540,P0459,P0462,hasSon,ekc:hasSon,,,,,politicalRelationship,
541,P5019,P5025,hasSon,ekc:hasSon,,,,,politicalRelationship,
542,P0462,P5030,hasSon,ekc:hasSon,,,,,politicalRelationship,
543,P5025,P5077,hasDaughter,ekc:hasDaughter,,,,,politicalRelationship,
544,P1547,P5077,hasWife,ekc:hasWife,,,,,politicalRelationship,
545,P5035,P0497,hasSon,ekc:hasSon,,,,,politicalRelationship,1
546,P5035,P5036,hasSon,ekc:hasSon,,,,,politicalRelationship,2
547,P5035,P5037,hasSon,ekc:hasSon,,,,,politicalRelationship,3
548,P0497,P0500,hasSon,ekc:hasSon,,,,,politicalRelationship,
549,P0497,P0518,hasAdoptedHeir,ekc:hasAdoptedHeir,,,,,politicalRelationship,
550,P5036,P0509,hasSon,ekc:hasSon,,,,,politicalRelationship,
551,P5036,P0510,hasSon,ekc:hasSon,,,,,politicalRelationship,
552,P5036,P0518,hasSon,ekc:hasSon,,,,,politicalRelationship,
553,P5037,P0496,hasSon,ekc:hasSon,,,,,politicalRelationship,
554,P5037,P0503,hasSon,ekc:hasSon,,,,,politicalRelationship,
555,P5037,P5066,hasDaughter,ekc:hasDaughter,,,,,politicalRelationship,
556,P0157,P5066,hasWife,ekc:hasWife,,,,,politicalRelationship,
557,P0518,P5034,hasSon,ekc:hasSon,,,,,politicalRelationship,
558,P3130,P0834,hasSon,ekc:hasSon,,,,,politicalRelationship,
559,P5040,P5038,hasSon,ekc:hasSon,,,,,politicalRelationship,
560,P5040,P5039,hasSon,ekc:hasSon,,,,,politicalRelationship,
561,P5038,P0858,hasSon,ekc:hasSon,,,,,politicalRelationship,
562,P5039,P3077,hasDaughter,ekc:hasDaughter,,,,,politicalRelationship,
563,P0048,P3077,hasWife,ekc:hasWife,,,,,politicalRelationship,
564,P5043,P1565,hasSon,ekc:hasSon,,,,,politicalRelationship,
565,P4177,P1375,hasSon,ekc:hasSon,,,,,politicalRelationship,1
566,P4177,P5056,hasSon,ekc:hasSon,,,,,politicalRelationship,2
567,P1375,P1544,hasSon,ekc:hasSon,,,,,politicalRelationship,
568,P1375,P1445,hasSon,ekc:hasSon,,,,,politicalRelationship,
569,P1375,P1692,hasSon,ekc:hasSon,,,,,politicalRelationship,
570,P5056,P1529,hasSon,ekc:hasSon,,,,,politicalRelationship,
571,P5056,P5080,hasDaughter,ekc:hasDaughter,,,,,politicalRelationship,
572,P0509,P5080,hasWife,ekc:hasWife,,,,,politicalRelationship,
573,P1544,P5042,hasSon,ekc:hasSon,,,,,politicalRelationship,
574,P5058,P5068,hasDaughter,ekc:hasDaughter,,,,,politicalRelationship,
575,P5042,P5068,hasWife,ekc:hasWife,,,,,politicalRelationship,
576,P5048,P5046,hasSon,ekc:hasSon,,,,,politicalRelationship,1
577,P5048,P5047,hasSon,ekc:hasSon,,,,,politicalRelationship,2
578,P5048,P5045,hasSon,ekc:hasSon,,,,,politicalRelationship,3
579,P5046,P5043,hasSon,ekc:hasSon,,,,,politicalRelationship,
580,P5047,P5043,hasAdoptedHeir,ekc:hasAdoptedHeir,,,,,politicalRelationship,
581,P5045,P5044,hasSon,ekc:hasSon,,,,,politicalRelationship,
582,P5045,P5078,hasDaughter,ekc:hasDaughter,,,,,politicalRelationship,
583,P5031,P5078,hasWife,ekc:hasWife,,,,,politicalRelationship,
584,P5045,P3057,hasDaughter,ekc:hasDaughter,,,,,politicalRelationship,
585,P5044,P1564,hasSon,ekc:hasSon,,,,,politicalRelationship,
586,P3112,P1547,hasSon,ekc:hasSon,,,,,politicalRelationship,
587,P3112,P1551,hasSon,ekc:hasSon,,,,,politicalRelationship,
588,P5049,P5050,hasSon,ekc:hasSon,,,,,politicalRelationship,
589,P5049,P5067,hasDaughter,ekc:hasDaughter,,,,,politicalRelationship,
590,P4178,P5067,hasWife,ekc:hasWife,,,,,politicalRelationship,
591,P1713,P1470,hasSon,ekc:hasSon,,,,,politicalRelationship,
592,P1713,P1460,hasSon,ekc:hasSon,,,,,politicalRelationship,
593,P1713,P1462,hasSon,ekc:hasSon,,,,,politicalRelationship,
594,P5050,P1521,hasSon,ekc:hasSon,,,,,politicalRelationship,1
595,P5050,P1567,hasSon,ekc:hasSon,,,,,politicalRelationship,2
596,P5050,P1571,hasSon,ekc:hasSon,,,,,politicalRelationship,3
597,P5052,P4010,hasSon,ekc:hasSon,,,,,politicalRelationship,
598,P5052,P5041,hasSon,ekc:hasSon,,,,,politicalRelationship,
599,P5052,P5051,hasSon,ekc:hasSon,,,,,politicalRelationship,
600,P4010,P1682,hasSon,ekc:hasSon,,,,,politicalRelationship,
601,P4010,P5069,hasDaughter,ekc:hasDaughter,,,,,politicalRelationship,
602,P1544,P5069,hasWife,ekc:hasWife,,,,,politicalRelationship,
603,P5041,P1686,hasSon,ekc:hasSon,,,,,politicalRelationship,
604,P5041,P1683,hasSon,ekc:hasSon,,,,,politicalRelationship,
605,P5007,P0063,hasSon,ekc:hasSon,,,,,politicalRelationship,
606,P5007,P5083,hasDaughter,ekc:hasDaughter,,,,,politicalRelationship,
607,P1686,P5083,hasWife,ekc:hasWife,,,,,politicalRelationship,
608,P5051,P1690,hasSon,ekc:hasSon,,,,,politicalRelationship,
609,P5051,P5065,hasDaughter,ekc:hasDaughter,,,,,politicalRelationship,
610,P1386,P5065,hasWife,ekc:hasWife,,,,,politicalRelationship,
611,P4180,P3140,hasDaughter,ekc:hasDaughter,,,,,politicalRelationship,
612,P0396,P3140,hasWife,ekc:hasWife,,,,,politicalRelationship,
613,P5055,P5054,hasSon,ekc:hasSon,,,,,politicalRelationship,
614,P0886,P0884,hasSon,ekc:hasSon,,,,,politicalRelationship,
615,P0884,P5087,hasWife,ekc:hasWife,,,,,politicalRelationship,
616,P1569,P5087,hasDaughter,ekc:hasDaughter,,,,,politicalRelationship,
617,P5054,P1569,hasSon,ekc:hasSon,,,,,politicalRelationship,1
618,P5054,P1557,hasSon,ekc:hasSon,,,,,politicalRelationship,2
619,P5057,P1697,hasSon,ekc:hasSon,,,,,politicalRelationship,
620,P5057,P1694,hasSon,ekc:hasSon,,,,,politicalRelationship,
621,P1880,P5058,hasSon,ekc:hasSon,,,,,politicalRelationship,
622,P1880,P5079,hasDaughter,ekc:hasDaughter,,,,,politicalRelationship,
623,P5034,P5079,hasWife,ekc:hasWife,,,,,politicalRelationship,
624,P5059,P4179,hasSon,ekc:hasSon,,,,,politicalRelationship,
625,P5059,P5060,hasSon,ekc:hasSon,,,,,politicalRelationship,
626,P4179,P3056,hasSon,ekc:hasSon,,,,,politicalRelationship,
627,P3056,P3057,hasWife,ekc:hasWife,,,,,politicalRelationship,
628,P5060,P5082,hasDaughter,ekc:hasDaughter,,,,,politicalRelationship,
629,P5036,P5082,hasWife,ekc:hasWife,,,,,politicalRelationship,
630,P5061,P5063,hasSon,ekc:hasSon,,,,,politicalRelationship,
631,P5061,P5062,hasSon,ekc:hasSon,,,,,politicalRelationship,
632,P5063,P2107,hasSon,ekc:hasSon,,,,,politicalRelationship,
633,P5063,P2102,hasSon,ekc:hasSon,,,,,politicalRelationship,
634,P5062,P2104,hasSon,ekc:hasSon,,,,,politicalRelationship,
635,P2103,P5076,hasDaughter,ekc:hasDaughter,,,,,politicalRelationship,
636,P5029,P5076,hasWife,ekc:hasWife,,,,,politicalRelationship,
637,P1521,P1667,hasSon,ekc:hasSon,,,,,politicalRelationship,
638,P1682,P1674,hasSon,ekc:hasSon,,,,,politicalRelationship,
639,P1682,P1675,hasSon,ekc:hasSon,,,,,politicalRelationship,
640,P1682,P1676,hasSon,ekc:hasSon,,,,,politicalRelationship,
1024,P5031,P0464,hasSon,ekc:hasSon,,,,,politicalRelationship,
1025,P5031,P0465,hasSon,ekc:hasSon,,,,,politicalRelationship,
1026,P0462,P0467,hasSon,ekc:hasSon,,,,,politicalRelationship,
1027,P5021,P5088,hasSon,ekc:hasSon,,,,,politicalRelationship,
1028,P5088,P0463,hasSon,ekc:hasSon,,,,,politicalRelationship,
1029,P0805,P0784,hasSon,ekc:hasSon,,,,,politicalRelationship,
