id,sourceid,targetid,relation,prefixrelation
114,N1692030802,D16920308,isElementOf,jad:isElementOf
115,N1692030803,D16920308,isElementOf,jad:isElementOf
116,N1692030804,D16920308,isElementOf,jad:isElementOf
117,N1692030805,D16920308,isElementOf,jad:isElementOf
118,N1692030901,D16920309,isElementOf,jad:isElementOf
119,N1692030902,D16920309,isElementOf,jad:isElementOf
120,N1692030903,D16920309,isElementOf,jad:isElementOf
121,N1692031101,D16920311,isElementOf,jad:isElementOf
122,N1692031102,D16920311,isElementOf,jad:isElementOf
123,N1692031200,D16920312,isElementOf,jad:isElementOf
124,N1692031301,D16920313,isElementOf,jad:isElementOf
125,N1692031302,D16920313,isElementOf,jad:isElementOf
126,N1692031303,D16920313,isElementOf,jad:isElementOf
127,N1692031304,D16920313,isElementOf,jad:isElementOf
128,N1692031401,D16920314,isElementOf,jad:isElementOf
129,N1692031402,D16920314,isElementOf,jad:isElementOf
130,N1692031403,D16920314,isElementOf,jad:isElementOf
131,N1692031501,D16920315,isElementOf,jad:isElementOf
132,N1692031502,D16920315,isElementOf,jad:isElementOf
133,N1692031503,D16920315,isElementOf,jad:isElementOf
134,N1692031601,D16920316,isElementOf,jad:isElementOf
135,N1692031602,D16920316,isElementOf,jad:isElementOf
136,N1692031603,D16920316,isElementOf,jad:isElementOf
137,N1692031604,D16920316,isElementOf,jad:isElementOf
138,N1692031605,D16920316,isElementOf,jad:isElementOf
139,N1692031606,D16920316,isElementOf,jad:isElementOf
140,N1692031801,D16920318,isElementOf,jad:isElementOf
141,N1692031802,D16920318,isElementOf,jad:isElementOf
142,N1692031901,D16920319,isElementOf,jad:isElementOf
143,N1692031902,D16920319,isElementOf,jad:isElementOf
144,N1692031903,D16920319,isElementOf,jad:isElementOf
145,N1692032001,D16920320,isElementOf,jad:isElementOf
146,N1692032002,D16920320,isElementOf,jad:isElementOf
147,N1692032003,D16920320,isElementOf,jad:isElementOf
148,N1692032100,D16920321,isElementOf,jad:isElementOf
149,N1692032201,D16920322,isElementOf,jad:isElementOf
150,N1692032202,D16920322,isElementOf,jad:isElementOf
151,N1692032203,D16920322,isElementOf,jad:isElementOf
152,N1692032301,D16920323,isElementOf,jad:isElementOf
153,N1692032302,D16920323,isElementOf,jad:isElementOf
154,N1692032303,D16920323,isElementOf,jad:isElementOf
155,N1692032304,D16920323,isElementOf,jad:isElementOf
156,N1692032401,D16920324,isElementOf,jad:isElementOf
157,N1692032402,D16920324,isElementOf,jad:isElementOf
158,N1692032403,D16920324,isElementOf,jad:isElementOf
159,N1692032404,D16920324,isElementOf,jad:isElementOf
160,N1692032405,D16920324,isElementOf,jad:isElementOf
161,N1692032406,D16920324,isElementOf,jad:isElementOf
162,N1692032501,D16920325,isElementOf,jad:isElementOf
163,N1692032502,D16920325,isElementOf,jad:isElementOf
164,N1692032503,D16920325,isElementOf,jad:isElementOf
165,N1692032601,D16920326,isElementOf,jad:isElementOf
166,N1692032602,D16920326,isElementOf,jad:isElementOf
167,N1692032603,D16920326,isElementOf,jad:isElementOf
168,N1692032604,D16920326,isElementOf,jad:isElementOf
169,N1692032605,D16920326,isElementOf,jad:isElementOf
170,N1692032701,D16920327,isElementOf,jad:isElementOf
171,N1692032702,D16920327,isElementOf,jad:isElementOf
172,N1692032703,D16920327,isElementOf,jad:isElementOf
173,N1692032704,D16920327,isElementOf,jad:isElementOf
174,N1692032705,D16920327,isElementOf,jad:isElementOf
175,N1692032706,D16920327,isElementOf,jad:isElementOf
176,N1692032801,D16920328,isElementOf,jad:isElementOf
177,N1692032802,D16920328,isElementOf,jad:isElementOf
178,N1692032803,D16920328,isElementOf,jad:isElementOf
179,N1692032804,D16920328,isElementOf,jad:isElementOf
180,N1692032901,D16920329,isElementOf,jad:isElementOf
181,N1692032902,D16920329,isElementOf,jad:isElementOf
182,N1692032903,D16920329,isElementOf,jad:isElementOf
183,N1692032904,D16920329,isElementOf,jad:isElementOf
184,N1692032905,D16920329,isElementOf,jad:isElementOf
185,N1692033001,D16920330,isElementOf,jad:isElementOf
186,N1692033002,D16920330,isElementOf,jad:isElementOf
187,N1692033003,D16920330,isElementOf,jad:isElementOf
188,N1692040301,D16920403,isElementOf,jad:isElementOf
189,N1692040302,D16920403,isElementOf,jad:isElementOf
190,N1692040303,D16920403,isElementOf,jad:isElementOf
191,N1692040304,D16920403,isElementOf,jad:isElementOf
192,N1692040305,D16920403,isElementOf,jad:isElementOf
193,N1692040401,D16920404,isElementOf,jad:isElementOf
194,N1692040402,D16920404,isElementOf,jad:isElementOf
195,N1692040501,D16920405,isElementOf,jad:isElementOf
196,N1692040502,D16920405,isElementOf,jad:isElementOf
197,N1692040601,D16920406,isElementOf,jad:isElementOf
198,N1692040602,D16920406,isElementOf,jad:isElementOf
199,N1692040603,D16920406,isElementOf,jad:isElementOf
200,N1692040604,D16920406,isElementOf,jad:isElementOf
201,N1692040701,D16920407,isElementOf,jad:isElementOf
202,N1692040702,D16920407,isElementOf,jad:isElementOf
203,N1692040703,D16920407,isElementOf,jad:isElementOf
204,N1692040704,D16920407,isElementOf,jad:isElementOf
205,N1692040705,D16920407,isElementOf,jad:isElementOf
206,N1692040801,D16920408,isElementOf,jad:isElementOf
207,N1692040802,D16920408,isElementOf,jad:isElementOf
208,N1692040901,D16920409,isElementOf,jad:isElementOf
209,N1692040902,D16920409,isElementOf,jad:isElementOf
210,N1692040903,D16920409,isElementOf,jad:isElementOf
211,N1692040904,D16920409,isElementOf,jad:isElementOf
212,N1692040905,D16920409,isElementOf,jad:isElementOf
213,N1692041001,D16920410,isElementOf,jad:isElementOf
214,N1692041002,D16920410,isElementOf,jad:isElementOf
215,N1692041003,D16920410,isElementOf,jad:isElementOf
216,N1692041101,D16920411,isElementOf,jad:isElementOf
217,N1692041102,D16920411,isElementOf,jad:isElementOf
218,N1692041103,D16920411,isElementOf,jad:isElementOf
219,N1692041104,D16920411,isElementOf,jad:isElementOf
220,N1692041105,D16920411,isElementOf,jad:isElementOf
221,N1692041106,D16920411,isElementOf,jad:isElementOf
222,N1692041201,D16920412,isElementOf,jad:isElementOf
223,N1692041202,D16920412,isElementOf,jad:isElementOf
224,N1692041203,D16920412,isElementOf,jad:isElementOf
225,N1692041301,D16920413,isElementOf,jad:isElementOf
226,N1692041302,D16920413,isElementOf,jad:isElementOf
227,N1692041303,D16920413,isElementOf,jad:isElementOf
228,N1692041304,D16920413,isElementOf,jad:isElementOf
229,N1692041401,D16920414,isElementOf,jad:isElementOf
230,N1692041402,D16920414,isElementOf,jad:isElementOf
231,N1692041403,D16920414,isElementOf,jad:isElementOf
232,N1692041404,D16920414,isElementOf,jad:isElementOf
233,N1692041405,D16920414,isElementOf,jad:isElementOf
234,N1692041501,D16920415,isElementOf,jad:isElementOf
235,N1692041502,D16920415,isElementOf,jad:isElementOf
236,N1692041503,D16920415,isElementOf,jad:isElementOf
237,N1692041504,D16920415,isElementOf,jad:isElementOf
238,N1692041601,D16920416,isElementOf,jad:isElementOf
239,N1692041602,D16920416,isElementOf,jad:isElementOf
240,N1692041603,D16920416,isElementOf,jad:isElementOf
241,N1692041604,D16920416,isElementOf,jad:isElementOf
242,N1692041700,D16920417,isElementOf,jad:isElementOf
243,N1692041801,D16920418,isElementOf,jad:isElementOf
244,N1692041802,D16920418,isElementOf,jad:isElementOf
245,N1692041803,D16920418,isElementOf,jad:isElementOf
246,N1692041804,D16920418,isElementOf,jad:isElementOf
247,N1692041901,D16920419,isElementOf,jad:isElementOf
248,N1692041902,D16920419,isElementOf,jad:isElementOf
249,N1692041903,D16920419,isElementOf,jad:isElementOf
250,N1692041904,D16920419,isElementOf,jad:isElementOf
251,N1692042001,D16920420,isElementOf,jad:isElementOf
252,N1692042002,D16920420,isElementOf,jad:isElementOf
253,N1692042101,D16920421,isElementOf,jad:isElementOf
254,N1692042102,D16920421,isElementOf,jad:isElementOf
255,N1692042103,D16920421,isElementOf,jad:isElementOf
256,N1692042201,D16920422,isElementOf,jad:isElementOf
257,N1692042202,D16920422,isElementOf,jad:isElementOf
258,N1692042203,D16920422,isElementOf,jad:isElementOf
259,N1692042204,D16920422,isElementOf,jad:isElementOf
260,N1692042301,D16920423,isElementOf,jad:isElementOf
261,N1692042302,D16920423,isElementOf,jad:isElementOf
262,N1692042303,D16920423,isElementOf,jad:isElementOf
263,N1692042304,D16920423,isElementOf,jad:isElementOf
264,N1692042401,D16920424,isElementOf,jad:isElementOf
265,N1692042402,D16920424,isElementOf,jad:isElementOf
266,N1692042500,D16920425,isElementOf,jad:isElementOf
267,N1692042601,D16920426,isElementOf,jad:isElementOf
268,N1692042602,D16920426,isElementOf,jad:isElementOf
269,N1692042700,D16920427,isElementOf,jad:isElementOf
270,N1692042801,D16920428,isElementOf,jad:isElementOf
271,N1692042802,D16920428,isElementOf,jad:isElementOf
272,N1692042803,D16920428,isElementOf,jad:isElementOf
273,N1692042901,D16920429,isElementOf,jad:isElementOf
274,N1692042902,D16920429,isElementOf,jad:isElementOf
275,N1692042903,D16920429,isElementOf,jad:isElementOf
276,N1692042904,D16920429,isElementOf,jad:isElementOf
277,N1692043001,D16920430,isElementOf,jad:isElementOf
278,N1692043002,D16920430,isElementOf,jad:isElementOf
279,N1692043003,D16920430,isElementOf,jad:isElementOf
280,N1692050101,D16920501,isElementOf,jad:isElementOf
281,N1692050102,D16920501,isElementOf,jad:isElementOf
282,N1692050201,D16920502,isElementOf,jad:isElementOf
283,N1692050202,D16920502,isElementOf,jad:isElementOf
284,N1692050301,D16920503,isElementOf,jad:isElementOf
285,N1692050302,D16920503,isElementOf,jad:isElementOf
286,N1692050303,D16920503,isElementOf,jad:isElementOf
287,N1692050304,D16920503,isElementOf,jad:isElementOf
288,N1692050401,D16920504,isElementOf,jad:isElementOf
289,N1692050402,D16920504,isElementOf,jad:isElementOf
290,N1692050403,D16920504,isElementOf,jad:isElementOf
291,N1692050501,D16920505,isElementOf,jad:isElementOf
292,N1692050502,D16920505,isElementOf,jad:isElementOf
293,N1692050503,D16920505,isElementOf,jad:isElementOf
294,N1692050700,D16920507,isElementOf,jad:isElementOf
295,N1692050801,D16920508,isElementOf,jad:isElementOf
296,N1692050802,D16920508,isElementOf,jad:isElementOf
297,N1692050803,D16920508,isElementOf,jad:isElementOf
298,N1692050804,D16920508,isElementOf,jad:isElementOf
299,N1692050900,D16920509,isElementOf,jad:isElementOf
300,N1692051001,D16920510,isElementOf,jad:isElementOf
301,N1692051002,D16920510,isElementOf,jad:isElementOf
302,N1692051003,D16920510,isElementOf,jad:isElementOf
303,N1692051101,D16920511,isElementOf,jad:isElementOf
304,N1692051102,D16920511,isElementOf,jad:isElementOf
305,N1692051103,D16920511,isElementOf,jad:isElementOf
306,N1692051201,D16920512,isElementOf,jad:isElementOf
307,N1692051202,D16920512,isElementOf,jad:isElementOf
308,N1692051301,D16920513,isElementOf,jad:isElementOf
309,N1692051302,D16920513,isElementOf,jad:isElementOf
310,N1692051303,D16920513,isElementOf,jad:isElementOf
311,N1692051304,D16920513,isElementOf,jad:isElementOf
312,N1692051305,D16920513,isElementOf,jad:isElementOf
313,N1692051601,D16920516,isElementOf,jad:isElementOf
314,N1692051602,D16920516,isElementOf,jad:isElementOf
315,N1692051603,D16920516,isElementOf,jad:isElementOf
316,N1692051701,D16920517,isElementOf,jad:isElementOf
317,N1692051702,D16920517,isElementOf,jad:isElementOf
318,N1692051703,D16920517,isElementOf,jad:isElementOf
319,N1692051704,D16920517,isElementOf,jad:isElementOf
320,N1692051705,D16920517,isElementOf,jad:isElementOf
321,N1692051706,D16920517,isElementOf,jad:isElementOf
322,N1692051707,D16920517,isElementOf,jad:isElementOf
323,N1692051801,D16920518,isElementOf,jad:isElementOf
324,N1692051802,D16920518,isElementOf,jad:isElementOf
325,N1692051803,D16920518,isElementOf,jad:isElementOf
326,N1692051901,D16920519,isElementOf,jad:isElementOf
327,N1692051902,D16920519,isElementOf,jad:isElementOf
328,N1692051903,D16920519,isElementOf,jad:isElementOf
329,N1692052001,D16920520,isElementOf,jad:isElementOf
330,N1692052002,D16920520,isElementOf,jad:isElementOf
331,N1692052101,D16920521,isElementOf,jad:isElementOf
332,N1692052102,D16920521,isElementOf,jad:isElementOf
333,N1692052201,D16920522,isElementOf,jad:isElementOf
334,N1692052202,D16920522,isElementOf,jad:isElementOf
335,N1692052301,D16920523,isElementOf,jad:isElementOf
336,N1692052302,D16920523,isElementOf,jad:isElementOf
337,N1692052303,D16920523,isElementOf,jad:isElementOf
338,N1692052304,D16920523,isElementOf,jad:isElementOf
339,N1692052500,D16920525,isElementOf,jad:isElementOf
340,N1692052600,D16920526,isElementOf,jad:isElementOf
341,N1692052700,D16920527,isElementOf,jad:isElementOf
342,N1692052801,D16920528,isElementOf,jad:isElementOf
343,N1692052802,D16920528,isElementOf,jad:isElementOf
344,N1692052803,D16920528,isElementOf,jad:isElementOf
345,N1692052804,D16920528,isElementOf,jad:isElementOf
346,N1692052805,D16920528,isElementOf,jad:isElementOf
347,N1692052806,D16920528,isElementOf,jad:isElementOf
348,N1692052901,D16920529,isElementOf,jad:isElementOf
349,N1692052902,D16920529,isElementOf,jad:isElementOf
350,N1692060100,D16920601,isElementOf,jad:isElementOf
351,N1692060201,D16920602,isElementOf,jad:isElementOf
352,N1692060202,D16920602,isElementOf,jad:isElementOf
353,N1692060301,D16920603,isElementOf,jad:isElementOf
354,N1692060302,D16920603,isElementOf,jad:isElementOf
355,N1692060303,D16920603,isElementOf,jad:isElementOf
356,N1692060401,D16920604,isElementOf,jad:isElementOf
357,N1692060402,D16920604,isElementOf,jad:isElementOf
358,N1692060403,D16920604,isElementOf,jad:isElementOf
359,N1692060501,D16920605,isElementOf,jad:isElementOf
360,N1692060502,D16920605,isElementOf,jad:isElementOf
361,N1692060503,D16920605,isElementOf,jad:isElementOf
362,N1692060504,D16920605,isElementOf,jad:isElementOf
363,N1692060505,D16920605,isElementOf,jad:isElementOf
364,N1692060506,D16920605,isElementOf,jad:isElementOf
365,N1692060507,D16920605,isElementOf,jad:isElementOf
366,N1692060601,D16920606,isElementOf,jad:isElementOf
367,N1692060602,D16920606,isElementOf,jad:isElementOf
368,N1692060701,D16920607,isElementOf,jad:isElementOf
369,N1692060702,D16920607,isElementOf,jad:isElementOf
370,N1692060801,D16920608,isElementOf,jad:isElementOf
371,N1692060802,D16920608,isElementOf,jad:isElementOf
372,N1692060803,D16920608,isElementOf,jad:isElementOf
373,N1692060804,D16920608,isElementOf,jad:isElementOf
374,N1692060900,D16920609,isElementOf,jad:isElementOf
375,N1692061001,D16920610,isElementOf,jad:isElementOf
376,N1692061002,D16920610,isElementOf,jad:isElementOf
377,N1692061003,D16920610,isElementOf,jad:isElementOf
378,N1692061101,D16920611,isElementOf,jad:isElementOf
379,N1692061102,D16920611,isElementOf,jad:isElementOf
380,N1692061103,D16920611,isElementOf,jad:isElementOf
381,N1692061104,D16920611,isElementOf,jad:isElementOf
382,N1692061201,D16920612,isElementOf,jad:isElementOf
383,N1692061202,D16920612,isElementOf,jad:isElementOf
384,N1692061301,D16920613,isElementOf,jad:isElementOf
385,N1692061302,D16920613,isElementOf,jad:isElementOf
386,N1692061303,D16920613,isElementOf,jad:isElementOf
387,N1692061401,D16920614,isElementOf,jad:isElementOf
388,N1692061402,D16920614,isElementOf,jad:isElementOf
389,N1692061501,D16920615,isElementOf,jad:isElementOf
390,N1692061502,D16920615,isElementOf,jad:isElementOf
391,N1692061503,D16920615,isElementOf,jad:isElementOf
392,N1692061504,D16920615,isElementOf,jad:isElementOf
393,N1692061505,D16920615,isElementOf,jad:isElementOf
394,N1692061506,D16920615,isElementOf,jad:isElementOf
395,N1692061601,D16920616,isElementOf,jad:isElementOf
396,N1692061602,D16920616,isElementOf,jad:isElementOf
397,N1692061603,D16920616,isElementOf,jad:isElementOf
398,N1692061701,D16920617,isElementOf,jad:isElementOf
399,N1692061702,D16920617,isElementOf,jad:isElementOf
400,N1692061703,D16920617,isElementOf,jad:isElementOf
401,N1692061801,D16920618,isElementOf,jad:isElementOf
402,N1692061802,D16920618,isElementOf,jad:isElementOf
403,N1692061803,D16920618,isElementOf,jad:isElementOf
404,N1692061901,D16920619,isElementOf,jad:isElementOf
405,N1692061902,D16920619,isElementOf,jad:isElementOf
406,N1692061903,D16920619,isElementOf,jad:isElementOf
407,N1692061904,D16920619,isElementOf,jad:isElementOf
408,N1692062000,D16920620,isElementOf,jad:isElementOf
409,N1692062101,D16920621,isElementOf,jad:isElementOf
410,N1692062102,D16920621,isElementOf,jad:isElementOf
411,N1692062103,D16920621,isElementOf,jad:isElementOf
412,N1692062104,D16920621,isElementOf,jad:isElementOf
413,N1692062200,D16920622,isElementOf,jad:isElementOf
414,N1692062401,D16920624,isElementOf,jad:isElementOf
415,N1692062402,D16920624,isElementOf,jad:isElementOf
416,N1692062501,D16920625,isElementOf,jad:isElementOf
417,N1692062502,D16920625,isElementOf,jad:isElementOf
418,N1692062503,D16920625,isElementOf,jad:isElementOf
419,N1692062504,D16920625,isElementOf,jad:isElementOf
420,N1692062505,D16920625,isElementOf,jad:isElementOf
421,N1692062601,D16920626,isElementOf,jad:isElementOf
422,N1692062602,D16920626,isElementOf,jad:isElementOf
423,N1692062603,D16920626,isElementOf,jad:isElementOf
424,N1692062604,D16920626,isElementOf,jad:isElementOf
425,N1692062701,D16920627,isElementOf,jad:isElementOf
426,N1692062702,D16920627,isElementOf,jad:isElementOf
427,N1692062801,D16920628,isElementOf,jad:isElementOf
428,N1692062802,D16920628,isElementOf,jad:isElementOf
429,N1692062803,D16920628,isElementOf,jad:isElementOf
430,N1692062804,D16920628,isElementOf,jad:isElementOf
431,N1692062805,D16920628,isElementOf,jad:isElementOf
432,N1692062806,D16920628,isElementOf,jad:isElementOf
433,N1692062900,D16920629,isElementOf,jad:isElementOf
434,N1692070101,D16920701,isElementOf,jad:isElementOf
435,N1692070102,D16920701,isElementOf,jad:isElementOf
436,N1692070103,D16920701,isElementOf,jad:isElementOf
437,N1692070200,D16920702,isElementOf,jad:isElementOf
438,N1692070301,D16920703,isElementOf,jad:isElementOf
439,N1692070302,D16920703,isElementOf,jad:isElementOf
440,N1692070401,D16920704,isElementOf,jad:isElementOf
441,N1692070402,D16920704,isElementOf,jad:isElementOf
442,N1692070403,D16920704,isElementOf,jad:isElementOf
443,N1692070404,D16920704,isElementOf,jad:isElementOf
444,N1692070405,D16920704,isElementOf,jad:isElementOf
445,N1692070406,D16920704,isElementOf,jad:isElementOf
446,N1692070407,D16920704,isElementOf,jad:isElementOf
447,N1692070501,D16920705,isElementOf,jad:isElementOf
448,N1692070502,D16920705,isElementOf,jad:isElementOf
449,N1692070601,D16920706,isElementOf,jad:isElementOf
450,N1692070602,D16920706,isElementOf,jad:isElementOf
451,N1692070603,D16920706,isElementOf,jad:isElementOf
452,N1692070604,D16920706,isElementOf,jad:isElementOf
453,N1692070605,D16920706,isElementOf,jad:isElementOf
454,N1692070701,D16920707,isElementOf,jad:isElementOf
455,N1692070702,D16920707,isElementOf,jad:isElementOf
456,N1692070703,D16920707,isElementOf,jad:isElementOf
457,N1692070704,D16920707,isElementOf,jad:isElementOf
458,N1692070705,D16920707,isElementOf,jad:isElementOf
459,N1692070706,D16920707,isElementOf,jad:isElementOf
460,N1692070801,D16920708,isElementOf,jad:isElementOf
461,N1692070802,D16920708,isElementOf,jad:isElementOf
462,N1692070803,D16920708,isElementOf,jad:isElementOf
463,N1692070804,D16920708,isElementOf,jad:isElementOf
464,N1692070805,D16920708,isElementOf,jad:isElementOf
465,N1692070806,D16920708,isElementOf,jad:isElementOf
466,N1692070901,D16920709,isElementOf,jad:isElementOf
467,N1692070902,D16920709,isElementOf,jad:isElementOf
468,N1692070903,D16920709,isElementOf,jad:isElementOf
469,N1692070904,D16920709,isElementOf,jad:isElementOf
470,N1692071000,D16920710,isElementOf,jad:isElementOf
471,N1692071101,D16920711,isElementOf,jad:isElementOf
472,N1692071102,D16920711,isElementOf,jad:isElementOf
473,N1692071103,D16920711,isElementOf,jad:isElementOf
474,N1692071104,D16920711,isElementOf,jad:isElementOf
475,N1692071200,D16920712,isElementOf,jad:isElementOf
476,N1692071301,D16920713,isElementOf,jad:isElementOf
477,N1692071302,D16920713,isElementOf,jad:isElementOf
478,N1692071303,D16920713,isElementOf,jad:isElementOf
479,N1692071304,D16920713,isElementOf,jad:isElementOf
480,N1692071305,D16920713,isElementOf,jad:isElementOf
481,N1692071401,D16920714,isElementOf,jad:isElementOf
482,N1692071402,D16920714,isElementOf,jad:isElementOf
483,N1692071501,D16920715,isElementOf,jad:isElementOf
484,N1692071502,D16920715,isElementOf,jad:isElementOf
485,N1692071503,D16920715,isElementOf,jad:isElementOf
486,N1692071504,D16920715,isElementOf,jad:isElementOf
487,N1692071505,D16920715,isElementOf,jad:isElementOf
488,N1692071601,D16920716,isElementOf,jad:isElementOf
489,N1692071602,D16920716,isElementOf,jad:isElementOf
490,N1692071603,D16920716,isElementOf,jad:isElementOf
491,N1692071701,D16920717,isElementOf,jad:isElementOf
492,N1692071702,D16920717,isElementOf,jad:isElementOf
493,N1692071703,D16920717,isElementOf,jad:isElementOf
494,N1692071704,D16920717,isElementOf,jad:isElementOf
495,N1692071801,D16920718,isElementOf,jad:isElementOf
496,N1692071802,D16920718,isElementOf,jad:isElementOf
497,N1692071803,D16920718,isElementOf,jad:isElementOf
498,N1692071804,D16920718,isElementOf,jad:isElementOf
